case,image,RMSE,MAE,SSIM
step,trace_corrupted,7.295904,7.277915,0.4796987328543764
step,retrace_corrupted,7.2908044,7.274654,0.48034915680033735
step,trace_gaussian,7.308184,7.277915,0.4761387466686574
step,trace_median,7.295904,7.277915,0.4796987328543764
step,trace_tv,7.295143,7.277915,0.47891505025784137
step,trace_wavelet,,,
step,retrace_gaussian,7.3037643,7.27824,0.47606190977583174
step,retrace_median,7.2908044,7.274654,0.48034915680033735
step,retrace_tv,7.2924676,7.274654,0.47900429986813103
step,retrace_wavelet,,,
gaussian_bump,trace_corrupted,7.2712207,7.269457,0.11593540186086297
gaussian_bump,retrace_corrupted,7.2821684,7.2821655,0.11593752098027058
gaussian_bump,trace_gaussian,7.2706146,7.269457,0.11592590185411554
gaussian_bump,trace_median,7.2711716,7.2694073,0.11593538351530396
gaussian_bump,trace_tv,7.2699666,7.2694564,0.1159182801207006
gaussian_bump,trace_wavelet,7.2712197,7.269456,0.11593543111896236
gaussian_bump,retrace_gaussian,7.2821703,7.2821655,0.1159279991060812
gaussian_bump,retrace_median,7.2821198,7.282116,0.11593750263503008
gaussian_bump,retrace_tv,7.2821736,7.282165,0.1159233477569241
gaussian_bump,retrace_wavelet,7.2821684,7.2821655,0.11593750820584782
sine_grating,trace_corrupted,7.271732,7.2504077,0.7984722349643707
sine_grating,retrace_corrupted,7.2930975,7.2769346,0.7982499729394913
sine_grating,trace_gaussian,7.310388,7.2504077,0.7891580065488816
sine_grating,trace_median,7.2762394,7.2501802,0.7968858494758606
sine_grating,trace_tv,7.307507,7.2504077,0.7880519779920578
sine_grating,trace_wavelet,,,
sine_grating,retrace_gaussian,7.3366556,7.2769346,0.7883738672733307
sine_grating,retrace_median,7.2976847,7.276821,0.7966195945739746
sine_grating,retrace_tv,7.3524547,7.276935,0.7799309548139572
sine_grating,retrace_wavelet,,,
trench,trace_corrupted,7.308186,7.265293,0.8744202192580123
trench,retrace_corrupted,7.3154254,7.283111,0.8830638110419531
trench,trace_gaussian,7.307895,7.236993,0.8643239009605749
trench,trace_median,7.308186,7.265293,0.8744202192580123
trench,trace_tv,7.2947545,7.2527924,0.8741217072891013
trench,trace_wavelet,,,
trench,retrace_gaussian,7.3411713,7.2866974,0.8752165552156074
trench,retrace_median,7.3154254,7.283111,0.8830638110419531
trench,retrace_tv,7.318728,7.283111,0.8802245909220364
trench,retrace_wavelet,,,
two_bumps,trace_corrupted,7.271224,7.269459,0.16093436465843675
two_bumps,retrace_corrupted,7.2821636,7.2821593,0.16093648604882135
two_bumps,trace_gaussian,7.2706213,7.269459,0.1609227066510897
two_bumps,trace_median,7.271116,7.26935,0.1609353752614418
two_bumps,trace_tv,7.270503,7.269459,0.16091796379699091
two_bumps,trace_wavelet,7.271223,7.269458,0.1609344474840723
two_bumps,retrace_gaussian,7.2821693,7.2821593,0.16092453747250698
two_bumps,retrace_median,7.2820535,7.2820487,0.16093752118966356
two_bumps,retrace_tv,7.282184,7.282159,0.16091530338548404
two_bumps,retrace_wavelet,7.2821636,7.282159,0.16093649634475635
