case,image,RMSE,MAE,SSIM
step,trace_corrupted,0.5006449,0.39960897,0.5756323762817382
step,retrace_corrupted,0.5006449,0.39960897,0.5756323762817382
step,trace_gaussian,0.5585099,0.16648078,0.9111511054824293
step,trace_median,0.20693043,0.16456062,0.8666305694561005
step,trace_tv,0.076305516,0.040467724,0.9815616991763115
step,trace_wavelet,0.015733194,0.012270473,0.9979917354898453
step,retrace_gaussian,0.5585099,0.16648078,0.9111511054824293
step,retrace_median,0.20693043,0.16456062,0.8666305694561005
step,retrace_tv,0.076305516,0.040467724,0.9815616991763115
step,retrace_wavelet,0.015733194,0.012270473,0.9979917354898453
gaussian_bump,trace_corrupted,0.49844542,0.3971531,0.5882795758541822
gaussian_bump,retrace_corrupted,0.49844542,0.3971531,0.5882795758541822
gaussian_bump,trace_gaussian,0.14209226,0.11342048,0.9083244575371743
gaussian_bump,trace_median,0.20538236,0.16343854,0.8534175813426972
gaussian_bump,trace_tv,0.057097808,0.040010102,0.9792252947416306
gaussian_bump,trace_wavelet,0.14908257,0.105587654,0.9317150774002075
gaussian_bump,retrace_gaussian,0.14209226,0.11342048,0.9083244575371743
gaussian_bump,retrace_median,0.20538236,0.16343854,0.8534175813426972
gaussian_bump,retrace_tv,0.057097808,0.040010102,0.9792252947416306
gaussian_bump,retrace_wavelet,0.14908257,0.105587654,0.9317150774002075
sine_grating,trace_corrupted,0.5007366,0.39958668,0.9922003519611359
sine_grating,retrace_corrupted,0.5007366,0.39958668,0.9922003519611359
sine_grating,trace_gaussian,0.56402194,0.49471888,0.9935380850515365
sine_grating,trace_median,0.36301064,0.29136613,0.9959545141334534
sine_grating,trace_tv,0.60891986,0.48586416,0.9906077565546035
sine_grating,trace_wavelet,0.2900615,0.23155166,0.9973570186243057
sine_grating,retrace_gaussian,0.56402194,0.49471888,0.9935380850515365
sine_grating,retrace_median,0.36301064,0.29136613,0.9959545141334534
sine_grating,retrace_tv,0.60891986,0.48586416,0.9906077565546035
sine_grating,retrace_wavelet,0.2900615,0.23155166,0.9973570186243057
trench,trace_corrupted,0.500567,0.39907673,0.6100975221734047
trench,retrace_corrupted,0.500567,0.39907673,0.6100975221734047
trench,trace_gaussian,0.7780156,0.22230183,0.9290353316730074
trench,trace_median,0.20902738,0.16535288,0.9068335450143814
trench,trace_tv,0.10141274,0.052698307,0.9818692846796513
trench,trace_wavelet,0.14030762,0.11071035,0.9530568896827698
trench,retrace_gaussian,0.7780156,0.22230183,0.9290353316730074
trench,retrace_median,0.20902738,0.16535288,0.9068335450143814
trench,retrace_tv,0.10141274,0.052698307,0.9818692846796513
trench,retrace_wavelet,0.14030762,0.11071035,0.9530568896827698
two_bumps,trace_corrupted,0.5002512,0.39881152,0.6006800862163305
two_bumps,retrace_corrupted,0.5002512,0.39881152,0.6006800862163305
two_bumps,trace_gaussian,0.14191401,0.11297816,0.9177459119911194
two_bumps,trace_median,0.20677464,0.16485639,0.8633606868062019
two_bumps,trace_tv,0.06498976,0.04367515,0.9822121964025498
two_bumps,trace_wavelet,0.16166577,0.11466447,0.931891106156826
two_bumps,retrace_gaussian,0.14191401,0.11297816,0.9177459119911194
two_bumps,retrace_median,0.20677464,0.16485639,0.8633606868062019
two_bumps,retrace_tv,0.06498976,0.04367515,0.9822121964025498
two_bumps,retrace_wavelet,0.16166577,0.11466447,0.931891106156826
